profile,actor,DPS,increase,
single_target,mchimbas_ritual_bandages_355,11122,3.70%,
single_target,landois_scrutiny_310,11112,3.60%,
single_target,dunewalkers_survival_kit_370,11111,3.59%,
single_target,dunewalkers_survival_kit_340,11110,3.59%,
single_target,dunewalkers_survival_kit_385,11110,3.58%,
single_target,kul_tiran_cannonball_runner_350,11110,3.58%,
single_target,razorcrest_of_the_enraged_matriarch_355,11110,3.58%,
single_target,void_portal_stone_360,11110,3.58%,
single_target,dunewalkers_survival_kit_350,11110,3.58%,
single_target,void_portal_stone_375,11110,3.58%,
single_target,dunewalkers_survival_kit_360,11110,3.58%,
single_target,void_portal_stone_365,11109,3.58%,
single_target,void_portal_stone_385,11109,3.58%,
single_target,dunewalkers_survival_kit_375,11109,3.58%,
single_target,tiny_electromental_in_a_jar_350,11109,3.58%,
single_target,razorcrest_of_the_enraged_matriarch_345,11109,3.58%,
single_target,razorcrest_of_the_enraged_matriarch_370,11109,3.58%,
single_target,void_portal_stone_345,11109,3.57%,
single_target,dunewalkers_survival_kit_365,11109,3.57%,
single_target,void_portal_stone_370,11108,3.57%,
single_target,void_portal_stone_380,11108,3.57%,
single_target,void_portal_stone_340,11108,3.57%,
single_target,dunewalkers_survival_kit_380,11108,3.57%,
single_target,void_portal_stone_350,11108,3.57%,
single_target,xalzaixs_veiled_eye_350,11108,3.57%,
single_target,razorcrest_of_the_enraged_matriarch_340,11108,3.57%,
single_target,razorcrest_of_the_enraged_matriarch_350,11108,3.57%,
single_target,razorcrest_of_the_enraged_matriarch_380,11108,3.56%,
single_target,razorcrest_of_the_enraged_matriarch_375,11108,3.56%,
single_target,razorcrest_of_the_enraged_matriarch_385,11107,3.56%,
single_target,dunewalkers_survival_kit_355,11107,3.56%,
single_target,frenetic_corpuscle_350,11107,3.56%,
single_target,void_portal_stone_355,11107,3.56%,
single_target,razorcrest_of_the_enraged_matriarch_365,11107,3.56%,
single_target,razorcrest_of_the_enraged_matriarch_360,11106,3.55%,
single_target,dunewalkers_survival_kit_345,11106,3.55%,
single_target,mchimbas_ritual_bandages_350,11105,3.54%,
single_target,xalzaixs_veiled_eye_345,11093,3.43%,
single_target,frenetic_corpuscle_345,11091,3.41%,
single_target,tiny_electromental_in_a_jar_345,11091,3.41%,
single_target,mchimbas_ritual_bandages_345,11090,3.40%,
single_target,kul_tiran_cannonball_runner_345,11090,3.40%,
single_target,tiny_electromental_in_a_jar_340,11076,3.27%,
single_target,kul_tiran_cannonball_runner_340,11076,3.27%,
single_target,xalzaixs_veiled_eye_340,11076,3.26%,
single_target,frenetic_corpuscle_340,11075,3.26%,
single_target,mchimbas_ritual_bandages_340,11070,3.21%,
single_target,kul_tiran_cannonball_runner_335,11061,3.13%,
single_target,tiny_electromental_in_a_jar_335,11059,3.11%,
single_target,mchimbas_ritual_bandages_335,11055,3.07%,
single_target,kul_tiran_cannonball_runner_330,11045,2.98%,
single_target,tiny_electromental_in_a_jar_330,11044,2.97%,
single_target,mchimbas_ritual_bandages_330,11041,2.94%,
single_target,kul_tiran_cannonball_runner_325,11031,2.85%,
single_target,tiny_electromental_in_a_jar_325,11031,2.84%,
single_target,mchimbas_ritual_bandages_325,11026,2.80%,
single_target,kul_tiran_cannonball_runner_320,11017,2.72%,
single_target,tiny_electromental_in_a_jar_320,11016,2.71%,
single_target,mchimbas_ritual_bandages_320,11013,2.68%,
single_target,kul_tiran_cannonball_runner_315,11004,2.60%,
single_target,tiny_electromental_in_a_jar_315,11002,2.58%,
single_target,mchimbas_ritual_bandages_315,10999,2.55%,
single_target,tiny_electromental_in_a_jar_310,10990,2.46%,
single_target,kul_tiran_cannonball_runner_310,10987,2.44%,
single_target,mchimbas_ritual_bandages_310,10986,2.43%,
single_target,Darkmoon_Deck_Fathoms_300,10964,2.23%,
single_target,Darkmoon_Deck_Blockades_300,10964,2.22%,
single_target,galecallers_boons_385,10914,1.76%,
single_target,galecallers_boons_380,10910,1.72%,
single_target,galecallers_boons_375,10906,1.68%,
single_target,galecallers_boons_370,10902,1.65%,
single_target,galecallers_boons_365,10897,1.60%,
single_target,galecallers_boons_360,10895,1.58%,
single_target,galecallers_boons_355,10890,1.53%,
single_target,galecallers_boons_350,10887,1.50%,
single_target,galecallers_boons_345,10883,1.47%,
single_target,galecallers_boons_340,10879,1.43%,
single_target,galecallers_boons_335,10877,1.41%,
single_target,galecallers_boons_330,10871,1.36%,
single_target,galecallers_boons_325,10868,1.33%,
single_target,galecallers_boons_320,10865,1.30%,
single_target,galecallers_boons_315,10860,1.26%,
single_target,galecallers_boons_310,10855,1.20%,
single_target,Base,10725,0.00%,
